,name,place,lat,lon,map
105558, เดชอุดม, town,14.9041057,105.0756671,./maps_data/ เดชอุดม.png
105559, Chandausi, city,28.449104,78.78285129999998,./maps_data/ Chandausi.png
105560, 易武镇, town,21.9811738,101.4693972,./maps_data/ 易武镇.png
105561, Nhavi, town,21.1977383,75.8362524,./maps_data/ Nhavi.png
105562, ไพรบึง, town,14.7558559,104.3599547,./maps_data/ ไพรบึง.png
105563, Sukoharjo, town,-7.6829886,110.8406284,./maps_data/ Sukoharjo.png
105564, น้ำเกลี้ยง, town,14.9277788,104.513315,./maps_data/ น้ำเกลี้ยง.png
105565, Месягутово, town,55.53469499999999,58.23923900000001,./maps_data/ Месягутово.png
105566, Ксеньевка, town,53.55980699999999,118.734123,./maps_data/ Ксеньевка.png
105567, Ujhani, town,28.0018463,79.0087423,./maps_data/ Ujhani.png
105568, Sambhal, city,28.585197,78.570932,./maps_data/ Sambhal.png
105569, 乌龙泉街, town,30.2690082,114.328876,./maps_data/ 乌龙泉街.png
105570, 石洞街, town,30.3436243,114.2890548,./maps_data/ 石洞街.png
105571, 五里界街, town,30.3362945,114.3860392,./maps_data/ 五里界街.png
105572, 金口街, town,30.3367019,114.1293797,./maps_data/ 金口街.png
105573, 山坡街道, town,30.0869267,114.3465571,./maps_data/ 山坡街道.png
105574, 郑店街, town,30.3318127,114.2522892,./maps_data/ 郑店街.png
105575, 湖泗街道, town,30.0184322,114.4604907,./maps_data/ 湖泗街道.png
105576, 法泗街, town,30.1546345,114.1568798,./maps_data/ 法泗街.png
105577, 安山街, town,30.156415600000006,114.2909388,./maps_data/ 安山街.png
105578, ၵဵင်းတွင်း, town,20.7636453,98.33285490000002,./maps_data/ ၵဵင်းတွင်း.png
105579, Rampur, town,28.8014001,79.02843370000002,./maps_data/ Rampur.png
105580, Moradabad, city,28.8334982,78.7732864,./maps_data/ Moradabad.png
105581, Gajraula, town,28.8360988,78.2452916,./maps_data/ Gajraula.png
105582, Noorpur, town,29.1500679,78.4074691,./maps_data/ Noorpur.png
