,name,place,lat,lon,map
87966, 粽粑乡, town,30.5632935,106.3253204,./maps_data/ 粽粑乡.png
87968, 临溪镇, town,30.31701,106.68473,./maps_data/ 临溪镇.png
87969, 普安镇, town,30.3894502,106.47145259999998,./maps_data/ 普安镇.png
87970, 齐福乡, town,30.3999918,106.5473854,./maps_data/ 齐福乡.png
87971, 赛龙镇, town,30.3226997,106.54169509999998,./maps_data/ 赛龙镇.png
87972, 中和镇, town,30.3268091,106.6500627,./maps_data/ 中和镇.png
87973, 高兴镇, town,30.2819315,106.7247163,./maps_data/ 高兴镇.png
87974, 白坪乡, town,30.3877863,106.3812402,./maps_data/ 白坪乡.png
87975, 八一乡, town,30.5157964,106.030814,./maps_data/ 八一乡.png
87976, 金光乡, town,30.4011484,106.1383868,./maps_data/ 金光乡.png
87977, 金牛镇, town,30.4181331,106.1012214,./maps_data/ 金牛镇.png
87978, 旧县乡, town,30.3301307,106.2860308,./maps_data/ 旧县乡.png
87979, 礼安镇, town,30.470586600000004,106.1372643,./maps_data/ 礼安镇.png
87980, 龙女镇, town,30.3901886,106.18627,./maps_data/ 龙女镇.png
87982, 清平镇, town,30.26191,106.22361,./maps_data/ 清平镇.png
87985, 万善镇, town,30.3688877,106.1214317,./maps_data/ 万善镇.png
87986, 龙凤街道办事处, town,46.4993378,125.1490399,./maps_data/ 龙凤街道办事处.png
87987, 卧里屯街道办事处, town,46.4571363,125.2117824,./maps_data/ 卧里屯街道办事处.png
87988, 兴化街道办事处, town,46.4441264,125.2132415,./maps_data/ 兴化街道办事处.png
87989, 东光街道办事处, town,46.5149333,125.0705908,./maps_data/ 东光街道办事处.png
87990, YE KYI, town,17.341237200000002,95.1113677,./maps_data/ YE KYI.png
87991, YE KYI ရေကြည်, town,17.341238,95.1113663,./maps_data/ YE KYI ရေကြည်.png
87992, 筑後市, city,33.2123783,130.5017727,./maps_data/ 筑後市.png
87993, 淳溪, town,31.3365446,118.8806962,./maps_data/ 淳溪.png
87994, 北辰街道, town,30.4866598,106.64165020000002,./maps_data/ 北辰街道.png
87995, 崇望乡, town,30.574313300000004,106.6521419,./maps_data/ 崇望乡.png
87996, 穿石乡, town,30.424582,106.616001,./maps_data/ 穿石乡.png
87997, 大龙乡, town,30.548115600000006,106.6831359,./maps_data/ 大龙乡.png
87999, 广安区, city,30.4769353,106.6372661,./maps_data/ 广安区.png
88000, 广福街道, town,30.4629846,106.6338466,./maps_data/ 广福街道.png
88003, 官盛镇, town,30.4464048,106.6874679,./maps_data/ 官盛镇.png
88004, 化龙乡, town,30.384749300000006,106.6274435,./maps_data/ 化龙乡.png
88005, 浓洄街道, town,30.4741969,106.63689209999998,./maps_data/ 浓洄街道.png
88006, 浓溪镇, town,30.528654,106.596642,./maps_data/ 浓溪镇.png
88008, 万盛街道, town,30.4558011,106.6267477,./maps_data/ 万盛街道.png
88009, 协兴镇, town,30.535756,106.637299,./maps_data/ 协兴镇.png
88010, 悦来镇, town,30.622020000000006,106.602594,./maps_data/ 悦来镇.png
88011, 枣山镇, town,30.451933,106.605154,./maps_data/ 枣山镇.png
88012, 中桥街道, town,30.4545957,106.6419184,./maps_data/ 中桥街道.png
88014, 古桥街道, town,30.3484155,106.7604852,./maps_data/ 古桥街道.png
88015, 华龙街道, town,30.4213609,106.7918107,./maps_data/ 华龙街道.png
88016, 禄市镇, town,30.4466017,106.826239,./maps_data/ 禄市镇.png
88018, 庆华镇, town,30.207177,106.671285,./maps_data/ 庆华镇.png
88019, 双河街道, town,30.374476,106.772655,./maps_data/ 双河街道.png
88020, 溪口镇, town,30.170779,106.690277,./maps_data/ 溪口镇.png
88022, 永兴镇, town,30.432656899999994,106.7432096,./maps_data/ 永兴镇.png
88023, 大佛寺街道, town,30.4999286,106.892664,./maps_data/ 大佛寺街道.png
88024, 观塘镇, town,30.5158393,106.7362177,./maps_data/ 观塘镇.png
88025, 护安镇, town,30.5066377,106.6926564,./maps_data/ 护安镇.png
88026, 虎城镇, town,30.5428028,106.7678979,./maps_data/ 虎城镇.png
88027, 奎阁街道, town,30.47516,106.6633062,./maps_data/ 奎阁街道.png
88029, 龙塘街道, town,30.4974804,106.896043,./maps_data/ 龙塘街道.png
88030, 前锋区, city,30.478330100000004,106.6614892,./maps_data/ 前锋区.png
88032, Tamparuli, town,6.1358087,116.2689572,./maps_data/ Tamparuli.png
88033, 八耳镇, town,30.2315302,107.1347153,./maps_data/ 八耳镇.png
88035, 长滩乡, town,30.1601983,107.0205798,./maps_data/ 长滩乡.png
88036, 城北镇, town,30.360883,106.927895,./maps_data/ 城北镇.png
88037, 城南镇, town,30.3195752,106.9182889,./maps_data/ 城南镇.png
88038, 鼎屏镇, town,30.3347429,106.930719,./maps_data/ 鼎屏镇.png
88039, 风垭乡, town,30.1321928,106.9021577,./maps_data/ 风垭乡.png
88040, 复盛乡, town,30.213458000000006,107.100719,./maps_data/ 复盛乡.png
88042, 高滩镇, town,30.0567717,106.748573,./maps_data/ 高滩镇.png
88044, 古路乡, town,30.301813,107.057315,./maps_data/ 古路乡.png
88045, 合流镇, town,30.204034000000004,106.839055,./maps_data/ 合流镇.png
88046, 华蓥乡, town,30.1333936,106.7449691,./maps_data/ 华蓥乡.png
88047, 九峰乡, town,30.128701,106.879616,./maps_data/ 九峰乡.png
88048, 梁板乡, town,30.255922,106.966566,./maps_data/ 梁板乡.png
88049, 两河镇, town,30.256791,107.027445,./maps_data/ 两河镇.png
88050, 凉山乡, town,30.121866,107.049673,./maps_data/ 凉山乡.png
88051, 黎家乡, town,30.0937437,107.0036716,./maps_data/ 黎家乡.png
88052, 牟家镇, town,30.2531954,106.8842239,./maps_data/ 牟家镇.png
88054, 西天乡, town,30.3063755,106.88060729999998,./maps_data/ 西天乡.png
88055, 御临镇, town,30.0756689,106.9016877,./maps_data/ 御临镇.png
88056, 子中乡, town,30.071807300000003,106.80717649999998,./maps_data/ 子中乡.png
88057, 城东街道, town,29.1122412,119.6577397,./maps_data/ 城东街道.png
88058, 城中街道, town,29.1113159,119.6525678,./maps_data/ 城中街道.png
88059, 城西街道, town,29.102371500000004,119.6413347,./maps_data/ 城西街道.png
88060, 冀南新区, city,36.4646436,114.3872666,./maps_data/ 冀南新区.png
88061, 花官营乡, town,36.5072043,114.437778,./maps_data/ 花官营乡.png
88062, 光禄镇, town,36.4284304,114.3560216,./maps_data/ 光禄镇.png
88063, 高臾镇, town,36.4228925,114.4137078,./maps_data/ 高臾镇.png
88064, 辛庄营乡, town,36.4535035,114.45734740000002,./maps_data/ 辛庄营乡.png
88065, 马头镇, town,36.4739228,114.4261211,./maps_data/ 马头镇.png
88066, 台城乡, town,36.50532000000001,114.4168138,./maps_data/ 台城乡.png
88067, 南城乡, town,36.5029873,114.3744457,./maps_data/ 南城乡.png
88068, 林坛镇, town,36.48336920000001,114.3136078,./maps_data/ 林坛镇.png
88069, 多湖街道, town,29.0953563,119.6818613,./maps_data/ 多湖街道.png
88070, 东孝街道, town,29.1157578,119.6818128,./maps_data/ 东孝街道.png
88071, 白塔街道, town,30.7403213,107.2113407,./maps_data/ 白塔街道.png
