,name,place,lat,lon,map
92917, Talisay, town,14.0939348,121.0218094,D:/MapsData/ Talisay.png
92918, Rizal, town,15.7087764,121.1050406,D:/MapsData/ Rizal.png
92919, Minglanilla, town,10.2450176,123.7974899,D:/MapsData/ Minglanilla.png
92920, Milaor, town,13.594583800000002,123.1767191,D:/MapsData/ Milaor.png
92921, Gloria, town,12.968845300000002,121.4785283,D:/MapsData/ Gloria.png
92922, San Dionisio, town,11.2701921,123.0942709,D:/MapsData/ San Dionisio.png
92923, Malvar, town,14.0472848,121.157631,D:/MapsData/ Malvar.png
92924, Buhi, town,13.434234699999998,123.51711709999998,D:/MapsData/ Buhi.png
92925, Galimuyod, town,17.183128,120.4692241,D:/MapsData/ Galimuyod.png
92926, Cauayan, town,9.972222,122.624444,D:/MapsData/ Cauayan.png
92927, Atok, town,16.627592,120.7674783,D:/MapsData/ Atok.png
92928, Perez, town,14.1935057,121.9243637,D:/MapsData/ Perez.png
92929, Malinao, town,11.6437882,122.3077295,D:/MapsData/ Malinao.png
92930, Escalante, city,10.8412679,123.4992627,D:/MapsData/ Escalante.png
92931, Tagkawayan, town,13.965605800000002,122.5392058,D:/MapsData/ Tagkawayan.png
92932, Tabuelan, town,10.8230737,123.8697115,D:/MapsData/ Tabuelan.png
92933, Pinukpuk, town,17.5759915,121.3674483,D:/MapsData/ Pinukpuk.png
92934, Sariaya, town,13.9629837,121.5243402,D:/MapsData/ Sariaya.png
92935, Bato, town,10.328625099999998,124.7889463,D:/MapsData/ Bato.png
92936, Quezon, town,7.7314194,125.1005886,D:/MapsData/ Quezon.png
92937, San Andres, town,13.3235043,122.6774476,D:/MapsData/ San Andres.png
92938, Catubig, town,12.407868,125.0544364,D:/MapsData/ Catubig.png
92939, Cabatuan, town,16.9533365,121.668882,D:/MapsData/ Cabatuan.png
92940, San Fernando, town,13.5634887,123.1413328,D:/MapsData/ San Fernando.png
92941, Tiwi, town,13.4569196,123.6796912,D:/MapsData/ Tiwi.png
92942, Binuangan, town,8.9202256,124.785402,D:/MapsData/ Binuangan.png
92943, Matanog, town,7.4663531,124.2565929,D:/MapsData/ Matanog.png
92944, Valladolid, town,10.4614319,122.8241628,D:/MapsData/ Valladolid.png
92945, San Guillermo, town,16.7209774,121.8094689,D:/MapsData/ San Guillermo.png
92946, Ginatilan, town,9.5687387,123.3150008,D:/MapsData/ Ginatilan.png
92947, Siocon, town,7.706750099999999,122.1395465,D:/MapsData/ Siocon.png
92948, Brooke's Point, town,8.7736019,117.8389787,D:/MapsData/ Brooke's Point.png
92949, Hinatuan, town,8.3656147,126.3358067,D:/MapsData/ Hinatuan.png
92950, Calape, town,9.8905133,123.8718668,D:/MapsData/ Calape.png
92951, Pintuyan, town,9.9430369,125.2505381,D:/MapsData/ Pintuyan.png
92952, Narvacan, town,17.419424199999998,120.4769173,D:/MapsData/ Narvacan.png
92953, Calaca, town,13.930449800000002,120.813103,D:/MapsData/ Calaca.png
92954, Tumauini, town,17.274973100000004,121.8068961,D:/MapsData/ Tumauini.png
92955, Macalelon, town,13.7476253,122.1404468,D:/MapsData/ Macalelon.png
92956, Guiguinto, town,14.8289491,120.8792922,D:/MapsData/ Guiguinto.png
92957, Del Gallego, town,13.9225812,122.5938087,D:/MapsData/ Del Gallego.png
92958, Samal, city,7.080536500000001,125.7098201,D:/MapsData/ Samal.png
92959, Barili, town,10.116537,123.5093986,D:/MapsData/ Barili.png
92960, Lapinig, town,12.3172219,125.3016342,D:/MapsData/ Lapinig.png
92961, Ilog, town,10.0256251,122.7682414,D:/MapsData/ Ilog.png
92962, Baliangao, town,8.661086300000001,123.60297040000002,D:/MapsData/ Baliangao.png
92963, Polanco, town,8.531082000000001,123.3629972,D:/MapsData/ Polanco.png
92965, Sikatuna, town,9.6878519,123.9740624,D:/MapsData/ Sikatuna.png
92966, Echague, town,16.70536,121.6749455,D:/MapsData/ Echague.png
92967, San Miguel, town,10.7807186,122.4650236,D:/MapsData/ San Miguel.png
92968, Matalam, town,7.0897351,124.9022956,D:/MapsData/ Matalam.png
92969, Dumingag, town,8.1544879,123.3448435,D:/MapsData/ Dumingag.png
92970, Gumaca, town,13.921508800000002,122.1015591,D:/MapsData/ Gumaca.png
92971, Santa Maria, town,17.369861800000002,120.4808168,D:/MapsData/ Santa Maria.png
92972, Lian, town,14.0361178,120.653454,D:/MapsData/ Lian.png
92973, Alcantara, town,12.258929,122.053496,D:/MapsData/ Alcantara.png
92974, Santa Teresita, town,18.2495312,121.9092323,D:/MapsData/ Santa Teresita.png
92975, Isabela, city,6.7055235999999985,121.9726402,D:/MapsData/ Isabela.png
92976, Abuyog, town,10.747102,125.0114853,D:/MapsData/ Abuyog.png
92977, Pola, town,13.143550400000002,121.4416056,D:/MapsData/ Pola.png
92978, Nabua, town,13.4075246,123.3730644,D:/MapsData/ Nabua.png
92979, Balayan, town,13.9503625,120.7334844,D:/MapsData/ Balayan.png
92980, General Nakar, town,14.7656095,121.6346991,D:/MapsData/ General Nakar.png
92981, Buguey, town,18.2882302,121.832126,D:/MapsData/ Buguey.png
92982, Alfonso, town,14.1383952,120.8561055,D:/MapsData/ Alfonso.png
92983, Calatrava, town,12.6194021,122.070392,D:/MapsData/ Calatrava.png
92984, San Miguel, town,15.1457465,120.9742207,D:/MapsData/ San Miguel.png
92985, Buenavista, town,10.6970447,122.6479645,D:/MapsData/ Buenavista.png
92986, Santo Domingo, town,17.6390234,120.409813,D:/MapsData/ Santo Domingo.png
92987, Besao, town,17.0955228,120.8565903,D:/MapsData/ Besao.png
92988, Muntinlupa, city,14.3940614,121.0410436,D:/MapsData/ Muntinlupa.png
92989, Lidlidda, town,17.2517706,120.5210619,D:/MapsData/ Lidlidda.png
92990, Molave, town,8.0927689,123.4849176,D:/MapsData/ Molave.png
92991, Dagami, town,11.0617364,124.9026227,D:/MapsData/ Dagami.png
92992, Dumalinao, town,7.818316499999999,123.3629892,D:/MapsData/ Dumalinao.png
92993, Santa Monica, town,10.0188427,126.0364378,D:/MapsData/ Santa Monica.png
92994, Jolo, town,6.0536561,121.0002644,D:/MapsData/ Jolo.png
92995, Agno, town,16.115662699999998,119.799026,D:/MapsData/ Agno.png
92996, Kalamansig, town,6.554583900000001,124.050599,D:/MapsData/ Kalamansig.png
92997, San Francisco, town,9.7779025,125.4239701,D:/MapsData/ San Francisco.png
92998, Lingig, town,8.0377815,126.4132366,D:/MapsData/ Lingig.png
92999, Biliran, town,11.466667,124.475278,D:/MapsData/ Biliran.png
93000, Banton, town,12.9471981,122.0956068,D:/MapsData/ Banton.png
93001, Alfonso Castañeda, town,15.793314,121.30355690000002,D:/MapsData/ Alfonso Castañeda.png
93002, Kalingalan Caluang, town,5.8841988,121.2632764,D:/MapsData/ Kalingalan Caluang.png
93003, Socorro, town,9.6183104,125.96506709999998,D:/MapsData/ Socorro.png
93004, Victoria, town,15.5770813,120.6812475,D:/MapsData/ Victoria.png
93005, Torrijos, town,13.3186924,122.0858558,D:/MapsData/ Torrijos.png
93006, Nunungan, town,7.785640799999999,123.9114906,D:/MapsData/ Nunungan.png
93007, Rosario, town,8.3814612,126.0018294,D:/MapsData/ Rosario.png
93008, Igbaras, town,10.7172812,122.265401,D:/MapsData/ Igbaras.png
93009, Madamba, town,7.858624499999999,124.050886,D:/MapsData/ Madamba.png
93010, Las Nieves, town,8.737506800000002,125.5972824,D:/MapsData/ Las Nieves.png
93011, Moalboal, town,9.9372185,123.3921896,D:/MapsData/ Moalboal.png
